Variable,Description,Variable type,Possible values
child__hashed_id,Unique hashed identifier from Children Helping Science for a child,,Unique six character long alphanumeric string 
child__garden_id,"Unique identifier from Project GARDEN for a child, connected to child__hashed_id",Character,Unique eight character long alphanumeric string 
age_years,Age in years at time of response of a participant,Numeric,3.0-7.5
VO_exclude,Indicator of whether all data should be excluded for a participant,Numeric,"1 = exclude, 0 = include"
VO_exclude_notes,Explanation for why all data should be excluded for a participant,Character,"Text explanation when VO_exclude = 1, Blank/NA when VO_exclude = 0"
response__date_created,Timestamp for when participant began the session,YYYY-MM-DD HH:MM,2023-12-21 00:00-2024-07-09 00:00
pc,Percentage of trials a participant answered correctly (accuracy),Numeric,0-100
num_trials,Number of trials that a participant completed,Numeric,0-105
diamond_trial,Performance on picture-matching trial where the correct choice was diamond from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
uniform_trial,Performance on picture-matching trial where the correct choice was uniform from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
dripping_trial,Performance on picture-matching trial where the correct choice was dripping from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
stew_trial,Performance on picture-matching trial where the correct choice was stew from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
pump_trial,Performance on picture-matching trial where the correct choice was pump from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
roof_trial,Performance on picture-matching trial where the correct choice was roof from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
artichoke_trial,Performance on picture-matching trial where the correct choice was artichoke from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
delivering_trial,Performance on picture-matching trial where the correct choice was delivering from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
elbow_trial,Performance on picture-matching trial where the correct choice was elbow from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
furry_trial,Performance on picture-matching trial where the correct choice was furry from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
footbath_trial,Performance on picture-matching trial where the correct choice was footbath from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
aloe_trial,Performance on picture-matching trial where the correct choice was aloe from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
prism_trial,Performance on picture-matching trial where the correct choice was prism from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
bulldozer_trial,Performance on picture-matching trial where the correct choice was bulldozer from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
sunflower_trial,Performance on picture-matching trial where the correct choice was sunflower from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
hedgehog_trial,Performance on picture-matching trial where the correct choice was hedgehog from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
dressing_trial,Performance on picture-matching trial where the correct choice was dressing from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
thermos_trial,Performance on picture-matching trial where the correct choice was thermos from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
gutter_trial,Performance on picture-matching trial where the correct choice was gutter from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
dumpling_trial,Performance on picture-matching trial where the correct choice was dumpling from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
ship_trial,Performance on picture-matching trial where the correct choice was ship from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
cork_trial,Performance on picture-matching trial where the correct choice was cork from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
stump_trial,Performance on picture-matching trial where the correct choice was stump from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
picking_trial,Performance on picture-matching trial where the correct choice was picking from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
silverware_trial,Performance on picture-matching trial where the correct choice was silverware from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
tulip_trial,Performance on picture-matching trial where the correct choice was tulip from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
foam_trial,Performance on picture-matching trial where the correct choice was foam from among four images,Numeric,"1 = correct, 0 = wrong, NA = trial not completed."
